SYMBOL,NSE_CATEGORY,NSE_SUB_CATEGORY,ATOM_BUCKET,TIER2_GROUP,TIER1_INDEX,ASSIGNMENT_STATUS,REVIEW_STATE,ASSIGNED_BY,ASSIGNED_AT,VOLUME,LIQUID,TRADABLE,HARVEST_PEERS_TIER1,HARVEST_PEERS_TIER2,HARVEST_VIABLE,LTP,NAV,I_NAV,NOTE
NIFTYBETF,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,1812,NO,NO,0,0,NO,240.46,239.19,239.74,
SENSEXBETA,EQUITY,BSE Sensex,INDEX,LARGECAP_50,SENSEX,AUTO,PENDING,,,1761,NO,NO,0,0,NO,832.00,824.50,825.37,
IVZSENSEX,EQUITY,BSE Sensex,INDEX,LARGECAP_50,SENSEX,AUTO,PENDING,,,1385,NO,NO,0,0,NO,74.60,74.38,-,
NETF,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,1110,NO,NO,0,0,NO,252.00,252.98,253.49,
IDFNIFTYET,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,1001,NO,NO,0,0,NO,257.00,256.81,257.40,
ENIFTY,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,975,NO,NO,0,0,NO,23.49,23.42,23.46,
SENSEXAXIS,EQUITY,BSE Sensex,INDEX,LARGECAP_50,SENSEX,AUTO,PENDING,,,602,NO,NO,0,0,NO,77.25,77.22,77.23,
IVZINNIFTY,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,573,NO,NO,0,0,NO,267.52,266.56,267.17,
SENSEXADD,EQUITY,BSE Sensex,INDEX,LARGECAP_50,SENSEX,AUTO,PENDING,,,414,NO,NO,0,0,NO,76.96,76.75,76.76,
ESENSEX,EQUITY,BSE Sensex,INDEX,LARGECAP_50,SENSEX,AUTO,PENDING,,,298,NO,NO,0,0,NO,75.16,74.90,74.87,
LICNETFN50,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,144,NO,NO,0,0,NO,260.54,260.74,261.83,
LICNETFSEN,EQUITY,BSE Sensex,INDEX,LARGECAP_50,SENSEX,AUTO,PENDING,,,0,NO,NO,0,0,NO,841.79,840.45,841.33,
ELM250,EQUITY,Nifty LargeMidcap 250,INDEX,LARGEMIDCAP,LARGEMIDCAP 250,AUTO,PENDING,,,32891,NO,NO,0,0,NO,16.19,16.06,16.05,
MIDCAPETF,EQUITY,Nifty Midcap 150,INDEX,MIDCAP,MIDCAP 150,AUTO,PENDING,,,1380411,YES,YES,5,8,TIER1,23.13,22.89,23.14,
MID150CASE,EQUITY,Nifty Midcap 150,INDEX,MIDCAP,MIDCAP 150,AUTO,PENDING,,,778742,YES,YES,5,8,TIER1,11.40,11.27,11.37,
HDFCMID150,EQUITY,Nifty Midcap 150,INDEX,MIDCAP,MIDCAP 150,AUTO,PENDING,,,671075,YES,YES,5,8,TIER1,22.90,22.67,22.86,
MID150,EQUITY,Nifty Midcap 150,INDEX,MIDCAP,MIDCAP 150,AUTO,PENDING,,,635762,YES,YES,5,8,TIER1,22.93,-,22.97,
MIDCAPIETF,EQUITY,Nifty Midcap 150,INDEX,MIDCAP,MIDCAP 150,AUTO,PENDING,,,576797,YES,YES,5,8,TIER1,23.43,23.17,23.37,
MID150BEES,EQUITY,Nifty Midcap 150,INDEX,MIDCAP,MIDCAP 150,AUTO,PENDING,,,467925,YES,YES,5,8,TIER1,234.49,231.45,233.46,
MIDSELIETF,EQUITY,BSE Midcap Select,INDEX,MIDCAP,MIDCAP SELECT,AUTO,PENDING,,,408836,YES,YES,0,8,TIER2,19.34,19.31,19.44,
MOM100,EQUITY,Nifty Midcap 100,INDEX,MIDCAP,MIDCAP 100,AUTO,PENDING,,,218093,YES,YES,0,8,TIER2,66.66,65.74,66.34,
MIDCAP,EQUITY,NIFTY Midcap 50,INDEX,MIDCAP,MIDCAP 50,AUTO,PENDING,,,133637,YES,YES,0,8,TIER2,18.11,17.95,18.12,
MIDCAPBETA,EQUITY,Nifty Midcap 150,INDEX,MIDCAP,MIDCAP 150,AUTO,PENDING,,,26478,NO,NO,0,0,NO,227.98,226.25,228.26,
MIDCAPADD,EQUITY,Nifty Midcap 150,INDEX,MIDCAP,MIDCAP 150,AUTO,PENDING,,,18839,NO,NO,0,0,NO,22.70,22.44,22.64,
SBINMID150,EQUITY,Nifty Midcap 150,INDEX,MIDCAP,MIDCAP 150,AUTO,PENDING,,,9273,NO,NO,0,0,NO,22.75,22.43,22.63,
MOLOWVOL,EQUITY,Nifty Midcap 100,INDEX,MIDCAP,MIDCAP 100,AUTO,PENDING,,,6873,NO,NO,0,0,NO,35.40,35.03,35.22,
LICNMID100,EQUITY,Nifty Midcap 100,INDEX,MIDCAP,MIDCAP 100,AUTO,PENDING,,,3565,NO,NO,0,0,NO,62.39,61.32,61.97,
GROWWMC150,EQUITY,Nifty Midcap 150,INDEX,MIDCAP,MIDCAP 150,AUTO,PENDING,,,149,NO,NO,0,0,NO,226.50,224.42,226.43,
MSCI360,EQUITY,MSCI India,INDEX,MSCI_INDIA,MSCI INDIA,AUTO,PENDING,,,40209,NO,NO,0,0,NO,9.86,9.76,9.75,
MSCIADD,EQUITY,MSCI India,INDEX,MSCI_INDIA,MSCI INDIA,AUTO,PENDING,,,10146,NO,NO,0,0,NO,28.63,28.53,28.68,
MSCIINDIA,EQUITY,MSCI India,INDEX,MSCI_INDIA,MSCI INDIA,AUTO,PENDING,,,4050,NO,NO,0,0,NO,29.05,28.82,28.97,
ABSLMSCIN,EQUITY,MSCI India,INDEX,MSCI_INDIA,MSCI INDIA,AUTO,PENDING,,,249,NO,NO,0,0,NO,28.72,28.51,28.65,
NEXT50IETF,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,AUTO,PENDING,,,369232,YES,YES,2,2,TIER1,75.20,74.33,75.17,
JUNIORBEES,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,AUTO,PENDING,,,212891,YES,YES,2,2,TIER1,773.40,761.77,770.16,
NEXT50BETA,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,AUTO,PENDING,,,178892,YES,YES,2,2,TIER1,77.45,76.08,76.92,
HDFCNEXT50,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,AUTO,PENDING,,,93622,NO,NO,0,0,NO,72.99,72.00,72.76,
ABSLNN50ET,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,AUTO,PENDING,,,71455,NO,NO,0,0,NO,74.80,74.17,74.99,
NEXT50,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,AUTO,PENDING,,,26277,NO,NO,0,0,NO,736.25,727.36,735.18,
NEXT50ADD,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,AUTO,PENDING,,,23050,NO,NO,0,0,NO,71.45,70.78,71.57,
SETFNN50,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,AUTO,PENDING,,,13672,NO,NO,0,0,NO,765.00,755.14,763.46,
GROWWNXT50,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,AUTO,PENDING,,,9931,NO,NO,0,0,NO,71.34,70.72,-,
NEXT50ETF,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,AUTO,PENDING,,,7471,NO,NO,0,0,NO,71.70,70.94,71.70,
SNXT30BEES,EQUITY,BSE Sensex Next 30,INDEX,NEXT_50,SENSEX NEXT 30,AUTO,PENDING,,,2988,NO,NO,0,0,NO,41.93,41.49,41.85,
MONEXT50,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,AUTO,PENDING,,,2801,NO,NO,0,0,NO,71.28,70.34,71.12,
SNXT50BETA,EQUITY,BSE SENSEX Next 50,INDEX,NEXT_50,SENSEX NEXT 50,AUTO,PENDING,,,1834,NO,NO,0,0,NO,91.60,92.20,92.95,
NEXT30ADD,EQUITY,BSE SENSEX Next 30,INDEX,NEXT_50,SENSEX NEXT 30,AUTO,PENDING,,,1001,NO,NO,0,0,NO,41.97,41.60,41.95,
ENEXT50,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,AUTO,PENDING,,,56,NO,NO,0,0,NO,70.89,70.17,70.56,
TOP100CASE,EQUITY,Nifty 100,INDEX,NIFTY_100,100,AUTO,PENDING,,,1171887,YES,YES,1,1,TIER1,10.32,10.21,10.25,
NIF100BEES,EQUITY,Nifty 100,INDEX,NIFTY_100,100,AUTO,PENDING,,,135501,YES,YES,1,1,TIER1,257.78,257.85,258.86,
NIF100IETF,EQUITY,Nifty 100,INDEX,NIFTY_100,100,AUTO,PENDING,,,47616,NO,NO,0,0,NO,27.31,27.12,27.25,
HDFCNIF100,EQUITY,Nifty 100,INDEX,NIFTY_100,100,AUTO,PENDING,,,26558,NO,NO,0,0,NO,25.32,25.13,25.23,
MONIFTY100,EQUITY,Nifty 100,INDEX,NIFTY_100,100,AUTO,PENDING,,,6165,NO,NO,0,0,NO,24.54,24.45,24.57,
LICNFNHGP,EQUITY,Nifty 100,INDEX,NIFTY_100,100,AUTO,PENDING,,,303,NO,NO,0,0,NO,272.24,266.43,267.68,
GROWWN200,EQUITY,Nifty 200,INDEX,NIFTY_200,200,AUTO,PENDING,,,14665,NO,NO,0,0,NO,11.03,10.96,11.01,
HDFCSML250,EQUITY,Nifty Smallcap 250,INDEX,SMALLCAP,SMALLCAP 250,AUTO,PENDING,,,1665599,YES,YES,3,4,TIER1,182.00,180.16,181.61,
SML100CASE,EQUITY,Nifty Smallcap100,INDEX,SMALLCAP,SMALLCAP100,AUTO,PENDING,,,770506,YES,YES,0,4,TIER2,11.16,11.03,11.11,
MOSMALL250,EQUITY,Nifty Smallcap 250,INDEX,SMALLCAP,SMALLCAP 250,AUTO,PENDING,,,713339,YES,YES,3,4,TIER1,18.22,17.96,18.12,
GROWWSC250,EQUITY,Nifty Smallcap 250,INDEX,SMALLCAP,SMALLCAP 250,AUTO,PENDING,,,379744,YES,YES,3,4,TIER1,10.50,10.32,10.40,
SMALL250,EQUITY,Nifty Smallcap 250,INDEX,SMALLCAP,SMALLCAP 250,AUTO,PENDING,,,257569,YES,YES,3,4,TIER1,18.10,17.93,-,
SMALLIETF,EQUITY,Nifty Smallcap 250,INDEX,SMALLCAP,SMALLCAP 250,AUTO,PENDING,,,67545,NO,NO,0,0,NO,18.01,17.90,18.05,
SMALLADD,EQUITY,Nifty Smallcap 250,INDEX,SMALLCAP,SMALLCAP 250,AUTO,PENDING,,,12790,NO,NO,0,0,NO,18.16,17.97,18.13,
SBISMLETF,EQUITY,Nifty Smallcap 250,INDEX,SMALLCAP,SMALLCAP 250,AUTO,PENDING,,,10469,NO,NO,0,0,NO,18.14,17.89,18.03,
AUTOIETF,EQUITY,Nifty Auto,SECTOR,AUTO,AUTO,AUTO,PENDING,,,752124,YES,YES,1,4,TIER1,28.36,27.89,28.21,
GROWWEV,EQUITY,Nifty EV and New Age Automotive,SECTOR,AUTO,EV AND NEW AGE AUTOMOTIVE,AUTO,PENDING,,,258717,YES,YES,2,4,TIER1,31.71,31.30,31.65,
AUTOBEES,EQUITY,Nifty Auto,SECTOR,AUTO,AUTO,AUTO,PENDING,,,144505,YES,YES,1,4,TIER1,283.04,278.38,281.12,
EVIETF,EQUITY,Nifty EV and New Age Automotive,SECTOR,AUTO,EV AND NEW AGE AUTOMOTIVE,AUTO,PENDING,,,143068,YES,YES,2,4,TIER1,31.92,31.38,31.75,
EVINDIA,EQUITY,Nifty EV and New Age Automotive,SECTOR,AUTO,EV AND NEW AGE AUTOMOTIVE,AUTO,PENDING,,,121664,YES,YES,2,4,TIER1,31.81,31.43,31.78,
BANKIETF,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,AUTO,PENDING,,,2307654,YES,YES,4,8,TIER1,58.02,57.89,57.72,
PVTBANIETF,EQUITY,Nifty Private Bank,SECTOR,BANKING,PRIVATE BANK,AUTO,PENDING,,,2030986,YES,YES,1,8,TIER1,27.62,27.61,27.55,
BANKNIFTY1,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,AUTO,PENDING,,,1798682,YES,YES,4,8,TIER1,58.17,58.51,58.77,
BANKBETA,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,AUTO,PENDING,,,1751884,YES,YES,4,8,TIER1,58.17,58.31,58.06,
PSUBNKBEES,EQUITY,Nifty PSU Bank,SECTOR,BANKING,PSU BANK,AUTO,PENDING,,,1436668,YES,YES,0,8,TIER2,92.31,92.45,92.30,
BANKBEES,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,AUTO,PENDING,,,514509,YES,YES,4,8,TIER1,582.09,583.63,581.18,
SETFNIFBK,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,AUTO,PENDING,,,260815,YES,YES,4,8,TIER1,577.75,579.01,576.58,
FINIETF,EQUITY,Nifty Financial Services Ex-Bank,SECTOR,BANKING,FINANCIAL SERVICES EX-BANK,AUTO,PENDING,,,250140,YES,YES,0,8,TIER2,32.04,31.59,31.93,
HDFCPVTBAN,EQUITY,Nifty Private Bank,SECTOR,BANKING,PRIVATE BANK,AUTO,PENDING,,,225252,YES,YES,1,8,TIER1,27.83,27.85,27.73,
SBIBPB,EQUITY,BSE PSU Bank,SECTOR,BANKING,PSU BANK,AUTO,PENDING,,,86400,NO,NO,0,0,NO,48.22,48.03,47.96,
TNIDETF,EQUITY,Nifty Private Bank,SECTOR,BANKING,PRIVATE BANK,AUTO,PENDING,,,57525,NO,NO,0,0,NO,88.02,88.73,88.22,
PSUBNKIETF,EQUITY,Nifty PSU Bank,SECTOR,BANKING,PSU BANK,AUTO,PENDING,,,43257,NO,NO,0,0,NO,84.21,83.96,83.77,
PSUBANK,EQUITY,Nifty PSU Bank,SECTOR,BANKING,PSU BANK,AUTO,PENDING,,,38641,NO,NO,0,0,NO,82.84,82.86,83.91,
ABSLBANETF,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,AUTO,PENDING,,,29639,NO,NO,0,0,NO,57.35,57.79,57.55,
PVTBANKADD,EQUITY,Nifty Private Bank,SECTOR,BANKING,PRIVATE BANK,AUTO,PENDING,,,26754,NO,NO,0,0,NO,27.66,27.75,27.63,
BANKETF,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,AUTO,PENDING,,,22817,NO,NO,0,0,NO,572.76,574.38,574.47,
HDFCNIFBAN,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,AUTO,PENDING,,,19963,NO,NO,0,0,NO,57.78,58.03,57.78,
PSUBANKADD,EQUITY,Nifty PSU Bank,SECTOR,BANKING,PSU BANK,AUTO,PENDING,,,19080,NO,NO,0,0,NO,83.38,83.71,83.58,
BANKPSU,EQUITY,Nifty PSU Bank,SECTOR,BANKING,PSU BANK,AUTO,PENDING,,,17015,NO,NO,0,0,NO,83.40,83.49,83.65,
BANK10BETF,EQUITY,BSE Top 10 Banks,SECTOR,BANKING,TOP 10 BANKS,AUTO,PENDING,,,12244,NO,NO,0,0,NO,20.20,20.41,-,
HDFCPSUBK,EQUITY,Nifty PSU Bank,SECTOR,BANKING,PSU BANK,AUTO,PENDING,,,10748,NO,NO,0,0,NO,83.14,83.75,83.61,
SBIETFPB,EQUITY,Nifty Private Bank,SECTOR,BANKING,PRIVATE BANK,AUTO,PENDING,,,6642,NO,NO,0,0,NO,280.05,279.17,277.99,
MIDBANKADD,EQUITY,BSE MidSmall Private Banks,SECTOR,BANKING,MIDSMALL PRIVATE BANKS,AUTO,PENDING,,,6401,NO,NO,0,0,NO,17.12,17.12,17.08,
BANKBETF,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,AUTO,PENDING,,,4493,NO,NO,0,0,NO,57.18,57.30,57.06,
BANK10ADD,EQUITY,BSE Top 10 Banks,SECTOR,BANKING,TOP 10 BANKS,AUTO,PENDING,,,4466,NO,NO,0,0,NO,16.50,16.58,16.47,
BANKADD,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,AUTO,PENDING,,,4145,NO,NO,0,0,NO,57.37,57.71,57.47,
PVTBKGROWW,EQUITY,Nifty Private Bank,SECTOR,BANKING,PRIVATE BANK,AUTO,PENDING,,,3592,NO,NO,0,0,NO,27.24,27.41,27.29,
GROWWPSUBK,EQUITY,Nifty PSU Bank,SECTOR,BANKING,PSU BANK,AUTO,PENDING,,,3497,NO,NO,0,0,NO,83.99,83.00,82.87,
EBANK10,EQUITY,BSE Top 10 Banks,SECTOR,BANKING,TOP 10 BANKS,AUTO,PENDING,,,3478,NO,NO,0,0,NO,16.22,16.46,17.32,
BBNPNBETF,EQUITY,NIFTY Bank,SECTOR,BANKING,BANK,AUTO,PENDING,,,3324,NO,NO,0,0,NO,56.62,56.80,56.56,
ABSL10BANK,EQUITY,BSE Top 10 Banks,SECTOR,BANKING,TOP 10 BANKS,AUTO,PENDING,,,2339,NO,NO,0,0,NO,164.55,165.73,164.65,
PVTBANK,EQUITY,Nifty Private Bank,SECTOR,BANKING,PRIVATE BANK,AUTO,PENDING,,,1080,NO,NO,0,0,NO,27.23,27.37,27.25,
IVZBANKNF,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,AUTO,PENDING,,,962,NO,NO,0,0,NO,55.99,56.24,-,
BNKETFAXIS,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,AUTO,PENDING,,,592,NO,NO,0,0,NO,580.10,581.19,582.34,
EBANKNIFTY,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,AUTO,PENDING,,,519,NO,NO,0,0,NO,56.74,56.84,56.45,
NPBET,EQUITY,Nifty Private Bank,SECTOR,BANKING,PRIVATE BANK,AUTO,PENDING,,,386,NO,NO,0,0,NO,282.00,283.10,281.86,
MOBANK10,EQUITY,BSE Top 10 Banks,SECTOR,BANKING,TOP 10 BANKS,AUTO,PENDING,,,292,NO,NO,0,0,NO,16.60,16.59,16.51,
CHEMICAL,EQUITY,Nifty Chemicals,SECTOR,CHEMICALS,CHEMICALS,AUTO,PENDING,,,271437,YES,YES,0,0,NO,29.15,28.86,29.05,
GROWWCHEM,EQUITY,Nifty Chemicals,SECTOR,CHEMICALS,CHEMICALS,AUTO,PENDING,,,30831,NO,NO,0,0,NO,29.35,28.80,29.01,
COMMOIETF,EQUITY,Nifty Commodities,SECTOR,COMMODITIES_EQUITY,COMMODITIES,AUTO,PENDING,,,23268,NO,NO,0,0,NO,97.43,96.37,96.93,
MODEFENCE,EQUITY,Nifty India Defence,SECTOR,DEFENCE,INDIA DEFENCE,AUTO,PENDING,,,1783984,YES,YES,2,2,TIER1,102.00,100.27,101.62,
DEFENCE,EQUITY,BSE India Defence,SECTOR,DEFENCE,INDIA DEFENCE,AUTO,PENDING,,,270552,YES,YES,2,2,TIER1,77.81,76.78,77.83,
GROWWDEFNC,EQUITY,Nifty India Defence,SECTOR,DEFENCE,INDIA DEFENCE,AUTO,PENDING,,,180595,YES,YES,2,2,TIER1,92.06,91.15,92.57,
OILIETF,EQUITY,Nifty Oil & Gas,SECTOR,ENERGY,OIL & GAS,AUTO,PENDING,,,9119991,YES,YES,0,2,TIER2,11.04,11.05,11.03,
GROWWPOWER,EQUITY,BSE Power,SECTOR,ENERGY,POWER,AUTO,PENDING,,,1714886,YES,YES,0,2,TIER2,11.07,10.94,11.08,
ENERGY,EQUITY,Nifty Energy,SECTOR,ENERGY,ENERGY,AUTO,PENDING,,,237663,YES,YES,0,2,TIER2,37.72,37.50,37.70,
MOENERGY,EQUITY,Nifty Energy,SECTOR,ENERGY,ENERGY,AUTO,PENDING,,,65244,NO,NO,0,0,NO,37.57,37.42,37.61,
ENERGYAXIS,EQUITY,Nifty Energy,SECTOR,ENERGY,ENERGY,AUTO,PENDING,,,22143,NO,NO,0,0,NO,18.76,18.64,18.68,
MOOILGAS,EQUITY,Nifty Oil & Gas,SECTOR,ENERGY,OIL & GAS,AUTO,PENDING,,,5229,NO,NO,0,0,NO,10.90,10.89,10.71,
INSUREIETF,EQUITY,BSE Insurance,SECTOR,FINANCIAL_SERVICES,INSURANCE,AUTO,PENDING,,,1516024,YES,YES,0,2,TIER2,15.06,14.66,15.18,
MOCAPITAL,EQUITY,Nifty Capital Market,SECTOR,FINANCIAL_SERVICES,CAPITAL MARKET,AUTO,PENDING,,,864265,YES,YES,1,2,TIER1,53.16,52.46,52.88,
GROWWCAPM,EQUITY,Nifty Capital Market,SECTOR,FINANCIAL_SERVICES,CAPITAL MARKET,AUTO,PENDING,,,735659,YES,YES,1,2,TIER1,11.10,11.01,11.12,
BFSI,EQUITY,Nifty Financial Services,SECTOR,FINANCIAL_SERVICES,FINANCIAL SERVICES,AUTO,PENDING,,,77632,NO,NO,0,0,NO,26.31,26.29,26.45,
ECAPINSURE,EQUITY,BSE Capital Markets & Insurance,SECTOR,FINANCIAL_SERVICES,CAPITAL MARKETS & INSURANCE,AUTO,PENDING,,,27955,NO,NO,0,0,NO,23.56,23.01,23.46,
FMCGIETF,EQUITY,Nifty FMCG,SECTOR,FMCG_CONSUMPTION,FMCG,AUTO,PENDING,,,973192,YES,YES,0,0,NO,49.31,48.98,49.05,
CONSUMER,EQUITY,Nifty India New Age Consumption,SECTOR,FMCG_CONSUMPTION,INDIA NEW AGE CONSUMPTION,AUTO,PENDING,,,90035,NO,NO,0,0,NO,11.72,11.64,11.74,
CONSUMBEES,EQUITY,Nifty India Consumption,SECTOR,FMCG_CONSUMPTION,INDIA CONSUMPTION,AUTO,PENDING,,,57414,NO,NO,0,0,NO,126.95,126.74,127.48,
FMCGADD,EQUITY,Nifty FMCG,SECTOR,FMCG_CONSUMPTION,FMCG,AUTO,PENDING,,,37341,NO,NO,0,0,NO,46.07,45.76,45.78,
CONS,EQUITY,Nifty India Consumption,SECTOR,FMCG_CONSUMPTION,INDIA CONSUMPTION,AUTO,PENDING,,,16325,NO,NO,0,0,NO,11.85,11.71,11.78,
CONSUMIETF,EQUITY,Nifty India Consumption,SECTOR,FMCG_CONSUMPTION,INDIA CONSUMPTION,AUTO,PENDING,,,13540,NO,NO,0,0,NO,119.31,117.92,118.71,
SBIETFCON,EQUITY,Nifty India Consumption,SECTOR,FMCG_CONSUMPTION,INDIA CONSUMPTION,AUTO,PENDING,,,1963,NO,NO,0,0,NO,118.54,117.46,118.14,
CONSUMAXIS,EQUITY,Nifty India Consumption,SECTOR,FMCG_CONSUMPTION,INDIA CONSUMPTION,AUTO,PENDING,,,260,NO,NO,0,0,NO,118.11,117.11,117.60,
GROWWRAIL,EQUITY,Nifty India Railways PSU,SECTOR,INFRA,INDIA RAILWAYS PSU,AUTO,PENDING,,,521994,YES,YES,0,3,TIER2,27.14,26.69,26.92,
INFRAIETF,EQUITY,Nifty Infrastructure,SECTOR,INFRA,INFRASTRUCTURE,AUTO,PENDING,,,356586,YES,YES,0,3,TIER2,92.00,91.78,92.46,
MOREALTY,EQUITY,Nifty Realty,SECTOR,INFRA,REALTY,AUTO,PENDING,,,330304,YES,YES,1,3,TIER1,83.90,82.57,83.86,
GROWWRLTY,EQUITY,Nifty Realty,SECTOR,INFRA,REALTY,AUTO,PENDING,,,280109,YES,YES,1,3,TIER1,9.40,9.22,9.36,
CEMNTGROWW,EQUITY,Nifty Cements,SECTOR,INFRA,CEMENTS,AUTO,PENDING,,,68805,NO,NO,0,0,NO,14.05,13.83,13.96,
INFRA,EQUITY,Nifty India Infrastructure & Logistics,SECTOR,INFRA,INDIA INFRASTRUCTURE & LOGISTICS,AUTO,PENDING,,,38972,NO,NO,0,0,NO,11.66,11.53,11.68,
INFRABEES,EQUITY,Nifty Infrastructure,SECTOR,INFRA,INFRASTRUCTURE,AUTO,PENDING,,,6160,NO,NO,0,0,NO,933.60,922.09,928.34,
MOINFRA,EQUITY,BSE India Infrastructure,SECTOR,INFRA,INDIA INFRASTRUCTURE,AUTO,PENDING,,,855,NO,NO,0,0,NO,57.60,57.23,57.56,
GROWWNET,EQUITY,Nifty India Internet,SECTOR,INTERNET,INDIA INTERNET,AUTO,PENDING,,,426495,YES,YES,0,0,NO,10.70,10.71,10.71,
INTERNET,EQUITY,Nifty India Internet,SECTOR,INTERNET,INDIA INTERNET,AUTO,PENDING,,,96126,NO,NO,0,0,NO,14.44,14.46,14.52,
ITBEES,EQUITY,Nifty IT,SECTOR,IT,IT,AUTO,PENDING,,,8324681,YES,YES,3,3,TIER1,32.46,32.33,32.41,
ITETF,EQUITY,Nifty IT,SECTOR,IT,IT,AUTO,PENDING,,,357330,YES,YES,3,3,TIER1,30.97,30.86,30.86,
ITIETF,EQUITY,Nifty IT,SECTOR,IT,IT,AUTO,PENDING,,,298904,YES,YES,3,3,TIER1,32.45,32.36,32.36,
IT,EQUITY,NIFTY IT,SECTOR,IT,IT,AUTO,PENDING,,,160242,YES,YES,3,3,TIER1,32.51,32.33,31.89,
HDFCNIFIT,EQUITY,Nifty IT,SECTOR,IT,IT,AUTO,PENDING,,,65039,NO,NO,0,0,NO,31.00,31.10,31.16,
TECH,EQUITY,Nifty IT,SECTOR,IT,IT,AUTO,PENDING,,,20077,NO,NO,0,0,NO,31.85,31.87,31.94,
SBIETFIT,EQUITY,Nifty IT,SECTOR,IT,IT,AUTO,PENDING,,,5344,NO,NO,0,0,NO,324.44,322.72,323.48,
ITADD,EQUITY,Nifty IT,SECTOR,IT,IT,AUTO,PENDING,,,2978,NO,NO,0,0,NO,30.99,30.87,30.94,
ITBETA,EQUITY,Nifty IT,SECTOR,IT,IT,AUTO,PENDING,,,1071,NO,NO,0,0,NO,309.39,306.19,306.90,
ITAXIS,EQUITY,Nifty IT,SECTOR,IT,IT,AUTO,PENDING,,,609,NO,NO,0,0,NO,318.10,320.69,318.86,
MAKEINDIA,EQUITY,Nifty India Manufacturing,SECTOR,MANUFACTURING,INDIA MANUFACTURING,AUTO,PENDING,,,37857,NO,NO,0,0,NO,161.34,158.97,161.11,
MANUFGBEES,EQUITY,Nifty India Manufacturing,SECTOR,MANUFACTURING,INDIA MANUFACTURING,AUTO,PENDING,,,2092,NO,NO,0,0,NO,159.94,156.95,159.07,
MOMGF,EQUITY,Nifty India Manufacturing,SECTOR,MANUFACTURING,INDIA MANUFACTURING,AUTO,PENDING,,,1074,NO,NO,0,0,NO,158.89,155.88,158.10,
METAL,EQUITY,Nifty Metal,SECTOR,METALS,METAL,AUTO,PENDING,,,2934238,YES,YES,2,2,TIER1,13.00,12.87,12.99,
METALIETF,EQUITY,Nifty Metal,SECTOR,METALS,METAL,AUTO,PENDING,,,2907242,YES,YES,2,2,TIER1,12.99,12.82,12.94,
GROWWMETAL,EQUITY,Nifty Metal,SECTOR,METALS,METAL,AUTO,PENDING,,,407418,YES,YES,2,2,TIER1,12.16,12.14,12.26,
HDFCNIMEG,EQUITY,Nifty Metal,SECTOR,METALS,METAL,AUTO,PENDING,,,20678,NO,NO,0,0,NO,127.98,127.34,128.54,
EMETAL,EQUITY,Nifty Metal,SECTOR,METALS,METAL,AUTO,PENDING,,,7553,NO,NO,0,0,NO,13.70,12.73,12.86,
MOMETAL,EQUITY,Nifty Metal,SECTOR,METALS,METAL,AUTO,PENDING,,,2261,NO,NO,0,0,NO,12.81,12.74,12.87,
MNC,EQUITY,Nifty MNC,SECTOR,MNC,MNC,AUTO,PENDING,,,18692,NO,NO,0,0,NO,32.49,32.10,32.25,
MOMNC,EQUITY,Nifty MNC ETF,SECTOR,MNC,MNC,AUTO,PENDING,,,2332,NO,NO,0,0,NO,31.46,31.08,27.76,
PHARMABEES,EQUITY,Nifty Pharma,SECTOR,PHARMA_HEALTHCARE,PHARMA,AUTO,PENDING,,,3319130,YES,YES,0,4,TIER2,27.38,26.89,27.33,
